,Medicine URL,Product name,Category
0,https://www.netmeds.com/prescriptions/atrest-12-5mg-tablet-10-s,Atrest 12.5mg Tablet 10'S,ADHD
1,https://www.netmeds.com/prescriptions/atrest-25mg-tablet-10-s,Atrest 25mg Tablet 10'S,ADHD
2,https://www.netmeds.com/prescriptions/capnea-injection-1ml,Capnea Injection 1ml,ADHD
3,https://www.netmeds.com/prescriptions/cognix-120mg-tablet-10-s,COGNIX 120mg Tablet 10's,ADHD
4,https://www.netmeds.com/prescriptions/a-cn-gel-20gm,A CN Gel(Topical) 20gm,Acne
5,https://www.netmeds.com/prescriptions/a-ret-0-025-gel-20gm,A Ret 0.025% Gel 20gm,Acne
6,https://www.netmeds.com/prescriptions/a-ret-0-05-gel-20gm,A Ret 0.05% Gel 20gm,Acne
7,https://www.netmeds.com/prescriptions/a-ret-0-1-gel-20gm,A Ret 0.1% Gel 20gm,Acne
8,https://www.netmeds.com/prescriptions/ab-next-gel-20gm,AB NEXT Gel 20gm,Acne
9,https://www.netmeds.com/prescriptions/acgel-cl-nano-gel-15gm,ACGEL CL NANO Gel 15gm,Acne
10,https://www.netmeds.com/prescriptions/acgel-nano-gel-15gm,ACGEL NANO Gel 15gm,Acne
11,https://www.netmeds.com/prescriptions/acnay-gel-10gm,Acnay Gel 10gm,Acne
12,https://www.netmeds.com/prescriptions/acne-aid-bar-100gm,Acne Aid Bar 100gm,Acne
13,https://www.netmeds.com/prescriptions/acne-uv-spf-30-gel-30gm,Acne UV SPF 30 Gel 30gm,Acne
14,https://www.netmeds.com/prescriptions/acne-uv-spf-30-gel-60gm,Acne UV SPF 30 Gel 60gm,Acne
15,https://www.netmeds.com/prescriptions/acnedap-gel-15gm,Acnedap Gel 15gm,Acne
16,https://www.netmeds.com/prescriptions/acnedap-plus-gel-15gm,Acnedap Plus Gel 15gm,Acne
17,https://www.netmeds.com/prescriptions/acne-gel-15gm,ACNEGEL Gel 15gm,Acne
18,https://www.netmeds.com/prescriptions/acnelak-soap-75gm,Acnelak Soap 75gm,Acne
19,https://www.netmeds.com/prescriptions/acnelak-clz-cream-15gm,Acnelak Clz Cream 15gm,Acne
20,https://www.netmeds.com/prescriptions/acnemoist-cream-60gm,Acnemoist Cream 60gm,Acne
21,https://www.netmeds.com/prescriptions/acnemoist-new-cream-60gm,ACNEMOIST NEW Cream 60gm,Acne
22,https://www.netmeds.com/prescriptions/acnepad-wipes-50-s,ACNEPAD Wipes 50's,Acne
23,https://www.netmeds.com/prescriptions/acnerex-face-wash-75ml,ACNEREX Face Wash 75ml,Acne
24,https://www.netmeds.com/prescriptions/acnerex-soap-75gm,Acnerex Soap 75gm,Acne
25,https://www.netmeds.com/prescriptions/acnesol-1-solution-25ml,Acnesol 1% Solution 25ml,Acne
26,https://www.netmeds.com/prescriptions/acnesol-gel-20gm,Acnesol Gel 20gm,Acne
27,https://www.netmeds.com/prescriptions/acnesol-a-nano-gel-15gm,Acnesol A Nano Gel 15gm,Acne
28,https://www.netmeds.com/prescriptions/acnetoin-gel-15gm,Acnetoin Gel 15gm,Acne
29,https://www.netmeds.com/prescriptions/acnetoin-i-20mg-capsule-10s,ACNETOIN I 20mg Capsule 10's,Acne
30,https://www.netmeds.com/prescriptions/acnetor-ad-gel-15gm,Acnetor AD Gel 15gm,Acne
31,https://www.netmeds.com/prescriptions/acnewar-gel-15gm,Acnewar Gel 15gm,Acne
32,https://www.netmeds.com/prescriptions/acnewar-plus-gel-15gm,Acnewar Plus Gel 15gm,Acne
33,https://www.netmeds.com/prescriptions/acnicin-gel-15gm,Acnicin Gel 15gm,Acne
34,https://www.netmeds.com/prescriptions/acno-medicated-soap-75gm,ACNO MEDICATED Soap 75gm,Acne
35,https://www.netmeds.com/prescriptions/acnoff-anti-acne-bar-100gm,Acnoff Anti Acne Bar 100gm,Acne
36,https://www.netmeds.com/prescriptions/acnorm-lotion-180ml,Acnorm Lotion 180ml,Acne
37,https://www.netmeds.com/prescriptions/acnovate-gel-15gm,Acnovate Gel 15gm,Acne
38,https://www.netmeds.com/prescriptions/acnovate-trio-gel-15gm,Acnovate Trio Gel 15gm,Acne
39,https://www.netmeds.com/prescriptions/actreat-geltopical-20gm,ACTREAT Gel(Topical) 20gm,Acne
40,https://www.netmeds.com/prescriptions/acutret-10mg-capsule-10-s,Acutret 10mg Capsule 10'S,Acne
41,https://www.netmeds.com/prescriptions/acutret-20mg-capsule-10-s,Acutret 20mg Capsule 10'S,Acne
42,https://www.netmeds.com/prescriptions/acutret-5mg-capsule-10-s,Acutret 5mg Capsule 10'S,Acne
43,https://www.netmeds.com/prescriptions/adabor-gel-15gm,Adabor Gel 15gm,Acne
